model,top1_accuracy,top3_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,inference_total_s,inference_per_image_ms,total_parameters,trainable_parameters,model_size_mb
mobilenetv2,0.9199,0.9785,0.9892,0.925,0.9243,0.9212,0.9253,0.9199,0.9189,9.575,11.4539,2593630,2016990,25.88
efficientnetb0,0.8349,0.939,0.9725,0.8516,0.8443,0.8346,0.8554,0.8349,0.8315,12.079,14.4491,4385217,335646,20.1
