bin,bin_low,bin_high,count,avg_confidence,avg_accuracy,gap
3,0.2,0.3,1,0.2465,0.0,0.2465
4,0.3,0.4,12,0.349,0.5833,0.2344
5,0.4,0.5,16,0.4479,0.375,0.0729
6,0.5,0.6,21,0.5537,0.6667,0.113
7,0.6,0.7,42,0.6519,0.6667,0.0148
8,0.7,0.8,31,0.7496,0.8065,0.0568
9,0.8,0.9,57,0.8505,0.7895,0.061
10,0.9,1.0,656,0.9861,0.9817,0.0044
