epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6147911548614502,9.999999747378752e-06,1.2938427925109863,0.8335450887680054,0.5639090538024902
1,0.6924713850021362,9.999999747378752e-06,1.0003741979599,0.8386276960372925,0.5465490221977234
2,0.7283852100372314,9.999999747378752e-06,0.8820492029190063,0.8500635027885437,0.5248985290527344
3,0.7685554623603821,9.999999747378752e-06,0.773630678653717,0.8614993691444397,0.49688953161239624
4,0.7834530472755432,9.999999747378752e-06,0.6927922964096069,0.8716645240783691,0.4633651375770569
5,0.8012769222259521,9.999999747378752e-06,0.6406022310256958,0.8729351758956909,0.44864919781684875
6,0.8020750284194946,9.999999747378752e-06,0.6328377723693848,0.8805590867996216,0.4247927963733673
7,0.8212290406227112,9.999999747378752e-06,0.5606597065925598,0.8869123458862305,0.4022551476955414
8,0.8353285193443298,9.999999747378752e-06,0.5312118530273438,0.8856416940689087,0.38851800560951233
9,0.8475658297538757,9.999999747378752e-06,0.5047749876976013,0.890724241733551,0.3805486559867859
10,0.8491619825363159,9.999999747378752e-06,0.4782295227050781,0.8983481526374817,0.36817046999931335
11,0.8600691556930542,9.999999747378752e-06,0.4387623071670532,0.9047014117240906,0.3521353602409363
12,0.8598031401634216,9.999999747378752e-06,0.43315303325653076,0.9047014117240906,0.34158414602279663
13,0.8664538264274597,9.999999747378752e-06,0.4182921051979065,0.9059720635414124,0.33602234721183777
14,0.8715083599090576,9.999999747378752e-06,0.39679792523384094,0.9097840189933777,0.33358851075172424
15,0.8789571523666382,9.999999747378752e-06,0.36776039004325867,0.9123252630233765,0.32815733551979065
16,0.8850758075714111,9.999999747378752e-06,0.3580595552921295,0.9059720635414124,0.32451221346855164
17,0.8837456703186035,9.999999747378752e-06,0.34905222058296204,0.9085133671760559,0.31632328033447266
18,0.8938547372817993,9.999999747378752e-06,0.3288978636264801,0.91486656665802,0.3082711100578308
19,0.9002394080162048,9.999999747378752e-06,0.3227156102657318,0.9161372184753418,0.30380773544311523
