model,epoch,accuracy
mobilenetv2,1,0.6147911548614502
mobilenetv2,2,0.6924713850021362
mobilenetv2,3,0.7283852100372314
mobilenetv2,4,0.7685554623603821
mobilenetv2,5,0.7834530472755432
mobilenetv2,6,0.8012769222259521
mobilenetv2,7,0.8020750284194946
mobilenetv2,8,0.8212290406227112
mobilenetv2,9,0.8353285193443298
mobilenetv2,10,0.8475658297538757
mobilenetv2,11,0.8491619825363159
mobilenetv2,12,0.8600691556930542
mobilenetv2,13,0.8598031401634216
mobilenetv2,14,0.8664538264274597
mobilenetv2,15,0.8715083599090576
mobilenetv2,16,0.8789571523666382
mobilenetv2,17,0.8850758075714111
mobilenetv2,18,0.8837456703186035
mobilenetv2,19,0.8938547372817993
mobilenetv2,20,0.9002394080162048
mobilenetv2,21,0.6147911548614502
mobilenetv2,22,0.6924713850021362
mobilenetv2,23,0.7283852100372314
mobilenetv2,24,0.7685554623603821
mobilenetv2,25,0.7834530472755432
mobilenetv2,26,0.8012769222259521
mobilenetv2,27,0.8020750284194946
mobilenetv2,28,0.8212290406227112
mobilenetv2,29,0.8353285193443298
mobilenetv2,30,0.8475658297538757
mobilenetv2,31,0.8491619825363159
mobilenetv2,32,0.8600691556930542
mobilenetv2,33,0.8598031401634216
mobilenetv2,34,0.8664538264274597
mobilenetv2,35,0.8715083599090576
mobilenetv2,36,0.8789571523666382
mobilenetv2,37,0.8850758075714111
mobilenetv2,38,0.8837456703186035
mobilenetv2,39,0.8938547372817993
mobilenetv2,40,0.9002394080162048
efficientnetb0,1,0.09949454665184021
efficientnetb0,2,0.28837457299232483
efficientnetb0,3,0.4025006592273712
efficientnetb0,4,0.49614259600639343
efficientnetb0,5,0.5658419728279114
efficientnetb0,6,0.6012237071990967
efficientnetb0,7,0.6334131360054016
efficientnetb0,8,0.662676215171814
efficientnetb0,9,0.6874168515205383
efficientnetb0,10,0.708699107170105
efficientnetb0,11,0.7190742492675781
efficientnetb0,12,0.7302473783493042
efficientnetb0,13,0.7496674656867981
efficientnetb0,14,0.7597765326499939
efficientnetb0,15,0.7701516151428223
efficientnetb0,16,0.7797286510467529
efficientnetb0,17,0.7916999459266663
efficientnetb0,18,0.799680769443512
efficientnetb0,19,0.8057994246482849
efficientnetb0,20,0.8121840953826904
efficientnetb0,21,0.8143123388290405
efficientnetb0,22,0.8167065978050232
efficientnetb0,23,0.8246874213218689
efficientnetb0,24,0.83958500623703
efficientnetb0,25,0.8281458020210266
efficientnetb0,26,0.7055068016052246
efficientnetb0,27,0.7528598308563232
efficientnetb0,28,0.7805267572402954
efficientnetb0,29,0.7871774435043335
efficientnetb0,30,0.7975525259971619
