model,epoch,loss
mobilenetv2,1,3.814613103866577
mobilenetv2,2,3.1622769832611084
mobilenetv2,3,2.682025671005249
mobilenetv2,4,2.365926504135132
mobilenetv2,5,2.0834288597106934
mobilenetv2,6,1.8709161281585693
mobilenetv2,7,1.7088276147842407
mobilenetv2,8,1.5492026805877686
mobilenetv2,9,1.4508293867111206
mobilenetv2,10,1.3663668632507324
mobilenetv2,11,1.3133432865142822
mobilenetv2,12,1.239137887954712
mobilenetv2,13,1.174562931060791
mobilenetv2,14,1.1293948888778687
mobilenetv2,15,1.1150215864181519
mobilenetv2,16,1.062761902809143
mobilenetv2,17,1.0051145553588867
mobilenetv2,18,0.9872493743896484
mobilenetv2,19,0.9557080268859863
mobilenetv2,20,0.9076665043830872
mobilenetv2,21,0.8983598351478577
mobilenetv2,22,0.863442599773407
mobilenetv2,23,0.840969979763031
mobilenetv2,24,0.8418236374855042
mobilenetv2,25,0.8181642293930054
mobilenetv2,26,1.4780086278915405
mobilenetv2,27,1.145280122756958
mobilenetv2,28,0.9996499419212341
mobilenetv2,29,0.8903793096542358
mobilenetv2,30,0.8055528998374939
mobilenetv2,31,0.7611241936683655
mobilenetv2,32,0.7458993196487427
mobilenetv2,33,0.6810345649719238
mobilenetv2,34,0.6288131475448608
mobilenetv2,35,0.6114500164985657
mobilenetv2,36,0.5617609620094299
mobilenetv2,37,0.5544668436050415
mobilenetv2,38,0.522067666053772
mobilenetv2,39,0.5089991688728333
mobilenetv2,40,0.4902608394622803
mobilenetv2,41,0.4713038504123688
mobilenetv2,42,0.44771820306777954
mobilenetv2,43,0.41792014241218567
mobilenetv2,44,0.40984442830085754
mobilenetv2,45,0.3839316666126251
efficientnetb0,1,3.261014223098755
efficientnetb0,2,2.7205729484558105
efficientnetb0,3,2.284303665161133
efficientnetb0,4,1.9019770622253418
efficientnetb0,5,1.633683681488037
efficientnetb0,6,1.4670779705047607
efficientnetb0,7,1.3131777048110962
efficientnetb0,8,1.2092252969741821
efficientnetb0,9,1.1120433807373047
efficientnetb0,10,1.0245178937911987
efficientnetb0,11,0.9723637104034424
efficientnetb0,12,0.9180758595466614
efficientnetb0,13,0.8638326525688171
efficientnetb0,14,0.8252192735671997
efficientnetb0,15,0.7950289249420166
efficientnetb0,16,0.7488660216331482
efficientnetb0,17,0.7106626629829407
efficientnetb0,18,0.6951548457145691
efficientnetb0,19,0.6870391964912415
efficientnetb0,20,0.6390821933746338
efficientnetb0,21,0.6187068223953247
efficientnetb0,22,0.6051879525184631
efficientnetb0,23,0.5808202028274536
efficientnetb0,24,0.5652704834938049
efficientnetb0,25,0.5540198683738708
efficientnetb0,26,1.3260762691497803
efficientnetb0,27,1.1381150484085083
efficientnetb0,28,1.0099512338638306
efficientnetb0,29,0.9269406199455261
efficientnetb0,30,0.8848835229873657
